epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.5916,0.88723,3.02589,1.2215,0.44143,0.08889,0.12369,0.08758,0.62127,2.8281,1.05477,0.000234281,0.000234281,0.000234281
2,20.6176,0.90105,2.23425,1.23051,0.2701,0.24538,0.18004,0.12447,0.80699,1.77771,1.15416,0.000467606,0.000467606,0.000467606
3,30.5466,0.95852,1.97812,1.25484,0.30866,0.28951,0.21175,0.14106,0.89392,1.80599,1.23623,0.000696218,0.000696218,0.000696218
4,40.4801,0.9774,1.88694,1.26615,0.38551,0.25745,0.232,0.15614,0.84508,1.63462,1.17067,0.000692794,0.000692794,0.000692794
5,50.4681,0.94731,1.79929,1.23296,0.31892,0.29761,0.2274,0.15795,0.81182,1.86442,1.17023,0.000685726,0.000685726,0.000685726
6,60.4251,0.93827,1.71371,1.22505,0.47219,0.2893,0.27228,0.19904,0.87173,1.48195,1.2051,0.000678657,0.000678657,0.000678657
7,70.3347,0.91135,1.66551,1.21798,0.37767,0.28794,0.27602,0.20912,0.75678,1.31689,1.13537,0.000671588,0.000671588,0.000671588
8,80.3212,0.902,1.61871,1.22002,0.54929,0.32604,0.30067,0.21867,0.76763,1.28869,1.12983,0.00066452,0.00066452,0.00066452
9,90.3028,0.89699,1.58317,1.21416,0.47433,0.32906,0.31781,0.2287,0.77064,1.30878,1.12981,0.000657451,0.000657451,0.000657451
10,100.315,0.87247,1.47585,1.18839,0.53831,0.31595,0.32141,0.24457,0.72142,1.1948,1.09609,0.000650383,0.000650383,0.000650383
11,110.206,0.84027,1.45589,1.16095,0.62767,0.31221,0.33342,0.2565,0.71003,1.13439,1.07105,0.000643314,0.000643314,0.000643314
12,120.137,0.83731,1.40168,1.15906,0.60225,0.31998,0.32043,0.24809,0.74055,1.15161,1.09665,0.000636245,0.000636245,0.000636245
13,130.088,0.83145,1.35432,1.15437,0.64277,0.3152,0.33846,0.26072,0.70076,1.0478,1.0748,0.000629177,0.000629177,0.000629177
14,140.014,0.82403,1.3241,1.15329,0.64271,0.32992,0.34453,0.27194,0.69223,1.01852,1.06626,0.000622108,0.000622108,0.000622108
15,150.004,0.80812,1.30345,1.14428,0.62917,0.31417,0.33291,0.25918,0.70136,1.21139,1.06766,0.00061504,0.00061504,0.00061504
16,159.969,0.78131,1.28678,1.13801,0.59379,0.33448,0.33958,0.27394,0.68944,0.99529,1.06895,0.000607971,0.000607971,0.000607971
17,169.846,0.77905,1.20816,1.12741,0.61557,0.32126,0.36025,0.27685,0.72135,0.99905,1.1119,0.000600902,0.000600902,0.000600902
18,179.815,0.77485,1.19874,1.12496,0.71043,0.30959,0.34906,0.28778,0.66816,0.94262,1.04655,0.000593834,0.000593834,0.000593834
19,189.771,0.76026,1.16041,1.11989,0.67353,0.3181,0.34425,0.26783,0.71778,1.05533,1.08102,0.000586765,0.000586765,0.000586765
20,199.719,0.77823,1.16851,1.12922,0.73419,0.30333,0.34899,0.2823,0.70228,0.95195,1.07587,0.000579697,0.000579697,0.000579697
21,209.695,0.7525,1.16901,1.10957,0.75083,0.33129,0.36849,0.30086,0.67826,0.91493,1.06508,0.000572628,0.000572628,0.000572628
22,219.669,0.75255,1.1159,1.11435,0.6741,0.34214,0.37642,0.2922,0.68037,0.94503,1.06915,0.000565559,0.000565559,0.000565559
23,229.633,0.73406,1.09785,1.09968,0.66927,0.3505,0.37402,0.30714,0.65167,0.87034,1.04575,0.000558491,0.000558491,0.000558491
24,239.593,0.7241,1.10479,1.09598,0.72286,0.33356,0.36915,0.30671,0.63523,0.85149,1.03611,0.000551422,0.000551422,0.000551422
25,249.543,0.73462,1.08131,1.10016,0.72583,0.33094,0.3786,0.31671,0.62777,0.85186,1.03272,0.000544354,0.000544354,0.000544354
26,259.497,0.72787,1.04935,1.08899,0.78289,0.33281,0.38554,0.31769,0.64245,0.80633,1.03535,0.000537285,0.000537285,0.000537285
27,269.377,0.729,1.02548,1.09571,0.85261,0.32278,0.38371,0.32242,0.64176,0.80656,1.03808,0.000530216,0.000530216,0.000530216
28,279.323,0.71129,1.03873,1.08157,0.76531,0.32979,0.36259,0.30962,0.6351,0.86238,1.02932,0.000523148,0.000523148,0.000523148
29,289.169,0.68303,1.00833,1.08148,0.85607,0.33568,0.38684,0.33039,0.609,0.75148,1.01611,0.000516079,0.000516079,0.000516079
30,299.082,0.69118,0.96937,1.07592,0.75789,0.35039,0.40491,0.33426,0.60535,0.7348,1.02073,0.000509011,0.000509011,0.000509011
31,309.054,0.70186,1.00405,1.07669,0.80956,0.33184,0.38873,0.33341,0.58761,0.76867,1.00327,0.000501942,0.000501942,0.000501942
32,319.003,0.68368,0.95694,1.071,0.77437,0.34092,0.39342,0.33178,0.59924,0.72465,1.00249,0.000494873,0.000494873,0.000494873
33,328.895,0.68251,0.94933,1.07369,0.75778,0.33343,0.37533,0.32011,0.60777,0.77273,1.01897,0.000487805,0.000487805,0.000487805
34,338.718,0.68101,0.92252,1.05899,0.84814,0.32674,0.38585,0.33079,0.58119,0.80567,1.00604,0.000480736,0.000480736,0.000480736
35,348.611,0.6845,0.91362,1.06602,0.80542,0.34519,0.3869,0.33695,0.56913,0.71999,0.99749,0.000473668,0.000473668,0.000473668
